,Year,Pos,Fee,Count
280,2012,GK,2182833.3333333335,60
281,2012,LB,2840357.1428571427,56
282,2012,LM,4734375.0,16
283,2012,LW,4612688.405797102,69
285,2012,RB,2605652.1739130435,69
286,2012,RM,3533333.3333333335,9
287,2012,RW,4066296.296296296,54
291,2013,CB,3153625.0,196
292,2013,CF,5084355.158730159,252
293,2013,CM,4874698.412698412,126
294,2013,DM,4197580.645161291,124
295,2013,GK,2164086.9565217393,46
296,2013,LB,2035530.303030303,66
297,2013,LM,2966363.6363636362,11
298,2013,LW,4787350.64935065,77
299,2013,RB,2310021.7391304346,46
300,2013,RM,6783333.333333333,9
301,2013,RW,6641515.151515151,66
304,2014,CB,4870120.77294686,207
305,2014,CF,6335206.140350877,228
306,2014,CM,4385043.859649123,114
307,2014,DM,4388443.396226415,106
308,2014,GK,3329873.417721519,79
309,2014,LB,4888800.0,85
310,2014,LM,1850000.0,9
311,2014,LW,4544794.520547945,73
312,2014,RB,2519603.4482758623,58
313,2014,RM,13300000.0,5
314,2014,RW,5828983.050847458,59
317,2015,CB,4554980.582524272,206
318,2015,CF,6125791.245791246,297
319,2015,CM,6260690.654676259,139
320,2015,DM,5672072.0,125
321,2015,GK,2425967.7419354836,62
322,2015,LB,4603676.470588235,68
323,2015,LM,4357142.857142857,14
324,2015,LW,7186631.578947368,95
325,2015,RB,3469533.3333333335,75
326,2015,RM,2633333.3333333335,6
327,2015,RW,6850795.454545454,88
330,2016,CB,5305916.666666667,240
331,2016,CF,7585864.978902954,237
332,2016,CM,7985778.443113772,167
333,2016,DM,6217415.254237288,118
334,2016,GK,2630723.880597015,67
335,2016,LB,4396944.444444444,72
336,2016,LM,7510000.0,10
337,2016,LW,9505937.5,96
339,2016,RB,2918187.5,64
340,2016,RM,8760000.0,8
341,2016,RW,6853766.233766234,77
344,2017,CB,8001611.320754717,265
345,2017,CF,8688076.086956521,276
346,2017,CM,8111957.831325301,166
347,2017,DM,5635165.467625899,139
348,2017,GK,4054041.095890411,73
349,2017,LB,5508932.038834952,103
350,2017,LM,690000.0,6
351,2017,LW,10683000.0,86
352,2017,RB,6685180.722891566,83
353,2017,RM,13142857.142857144,7
354,2017,RW,10141350.0,100
357,2018,CB,5977639.676113361,247
358,2018,CF,8459463.878326995,263
359,2018,CM,6984296.296296297,162
360,2018,DM,8157961.538461538,130
361,2018,GK,7924055.555555556,90
362,2018,LB,5562392.857142857,84
363,2018,LM,1425000.0,2
364,2018,LW,5906960.784313725,102
365,2018,RB,5723785.046728972,107
366,2018,RM,3831428.5714285714,7
367,2018,RW,9564622.641509434,106
370,2019,CB,9034492.62295082,244
371,2019,CF,9096255.319148935,282
372,2019,CM,9810006.06060606,165
373,2019,DM,8005487.603305785,121
374,2019,GK,6696939.759036144,83
375,2019,LB,6174009.090909091,110
376,2019,LM,7522727.2727272725,11
377,2019,LW,11182669.642857144,112
378,2019,RB,6606261.904761905,84
379,2019,RM,7398714.285714285,14
380,2019,RW,10176486.486486487,111
383,2020,CB,5411116.071428572,168
384,2020,CF,9248561.855670104,194
385,2020,CM,8961067.79661017,118
386,2020,DM,7360333.333333333,75
387,2020,GK,4097014.925373134,67
388,2020,LB,6547734.375,64
389,2020,LM,3120000.0,5
390,2020,LW,6266962.025316455,79
391,2020,RB,6705065.7894736845,76
392,2020,RM,967500.0,10
393,2020,RW,7500164.835164835,91
396,2021,CB,6649397.7272727275,176
397,2021,CF,7832010.256410256,195
398,2021,CM,5789051.851851852,135
399,2021,DM,5496883.116883117,77
400,2021,GK,4481140.625,64
401,2021,LB,5419678.571428572,84
402,2021,LM,3680000.0,10
403,2021,LW,9841714.285714285,105
404,2021,RB,9328338.235294119,68
405,2021,RM,5860000.0,15
406,2021,RW,7470812.5,80
409,2022,CB,9392060.08583691,233
410,2022,CF,9100258.964143427,251
411,2022,CM,8133153.409090909,176
412,2022,DM,9787598.039215686,102
413,2022,GK,2964666.6666666665,84
414,2022,LB,9075842.696629213,89
415,2022,LM,8225000.0,12
416,2022,LW,10889960.317460317,126
417,2022,RB,5227674.4186046515,86
418,2022,RM,2745454.5454545454,11
419,2022,RW,8672139.240506329,79
422,2023,CB,10001685.714285715,175
423,2023,CF,11366889.95215311,209
424,2023,CM,12466958.041958041,143
425,2023,DM,15619909.90990991,111
426,2023,GK,7594615.384615385,65
427,2023,LB,3663875.0,64
428,2023,LM,6893750.0,8
429,2023,LW,7945202.702702703,74
430,2023,RB,5621132.075471698,53
431,2023,RM,6892307.692307692,13
432,2023,RW,12172904.255319148,94
